LIMIT,K,MEAN_ERROR,STD_ERROR,FAILRATE,MAX_ERROR,MIN_ERROR,MEDIAN_ERROR,25th_PERCENTILE,75th_PERCENTILE,90th_PERCENTILE,95th_PERCENTILE,99th_PERCENTILE,99.99th_PERCENTILE
23,5,12.00373132240856,13.122928626202697,0.0,69.2824537872148,0.5847741796625154,7.515610595678263,3.9827646523062956,13.992457081777717,27.50345864280706,38.03053046481656,59.508444428576965,69.18471369362827
23,6,11.936346854185631,13.060571417680961,0.0,67.11630226701985,0.5847741796625154,7.438295172326164,3.5766588798608603,14.931534514933857,29.53762225430403,40.298740584017764,59.854196819614124,67.04368121254568
23,7,11.857004226397391,13.058060973067544,0.0,70.23263591897148,0.5847741796625154,7.214035745247115,3.6865381117557474,14.954296695010214,29.975121388224206,42.565247708322595,60.15296516149842,70.13183921139658
23,8,11.78856506759961,12.759750074247245,0.0,65.28680275336734,0.5847741796625154,7.429723221941977,3.8593819677774137,14.271063801675377,30.22841949873991,38.673642971737785,60.245829066872815,65.23639301650232
23,9,11.92708679889553,12.585074144702977,0.0,62.597461486628134,0.5847741796625154,7.921934694243622,3.8271469289716307,14.322650935483345,30.507010706816246,35.62439858456701,60.350129590230964,62.574988167664124
23,10,11.952491913902145,12.584707707553783,0.0,62.78943695155542,0.525955954635077,8.083211087056945,4.238883310621225,14.32315824583002,30.628064959423195,33.50831825754878,61.4677354063497,62.776219936103345
23,11,11.913903081766282,12.574751672803544,0.0,63.08081426213289,0.4782516069193328,8.0017394794795,4.189419893350812,13.757070789878702,28.80224176804439,33.80059341266172,63.029460866901175,63.080300728180575
23,12,12.048708087123885,12.471307169285344,0.0,61.52288092441337,0.48582015045611127,8.279402368705245,4.533313503093061,13.604876164200666,29.86389184963909,35.4770095924554,60.986524176704066,61.51751735693627
23,13,12.144869218856181,12.480025099367557,0.0,62.135745860803596,0.5698227588211379,8.10228448149385,4.356109609949874,13.857253319067935,28.874445055355455,34.30448221220837,60.74557653476379,62.12184416754317
23,14,12.293695493152944,12.433175413384584,0.0,62.88168020719503,0.5312569703006332,8.414732206742093,4.440292818166011,14.382871238365754,28.42219411797841,33.44427100837527,61.10352185808269,62.86389862370388
